B1,B2,B3,B4,Label
-75.75,-91.75,-73.25,-65.5,Empty
-75.75,-91.75,-73.25,-65.5,Empty
-77.5,-92.25,-75,-64.75,Empty
-77.5,-92.25,-75,-64.75,Empty
-79.25,-93,-77.25,-63.5,Empty
-79.25,-93,-77.25,-63.5,Empty
-80.25,-92.25,-79.25,-62.67,Empty
-80.25,-92.25,-79.25,-62.25,Empty
-80,-90.75,-81.5,-61,Empty
-80,-90.75,-81.5,-61,Empty
-79.33,-89.75,-79.5,-61,Empty
-79.33,-89.75,-79.5,-62,Empty
-78.67,-88.67,-77.25,-62.5,Empty
-77.5,-88.67,-77.25,-63,Empty
-77.33,-88,-75.25,-64,Empty
-77.33,-88,-75.25,-64,Empty
-76.5,-88,-73,-64,Empty
-76.5,-88,-73,-64.5,Empty
-79.75,-89,-73,-64.5,Empty
-79.75,-89,-73,-64.75,Empty
-80.25,-91,-73,-64.75,Empty
-82.33,-91,-73,-70.5,Empty
-81.75,-91.33,-73,-70.5,Empty
-81.75,-91.33,-73,-69.5,Empty
-83.25,-91.75,-75.25,-69.5,Empty
-83.25,-91.75,-75.25,-68.25,Empty
-80.25,-92.5,-79.25,-68.25,Empty
-80.25,-92.5,-79.25,-67.25,Empty
-79.75,-91,-81.5,-67.25,Empty
-79.75,-91,-81.5,-60.75,Empty
-79.67,-89.5,-84.33,-60.75,Empty
-79.67,-89.5,-84.33,-61.75,Empty
-79.33,-87.75,-81.33,-61.75,Empty
-79.33,-87.75,-81.33,-62.5,Empty
-77.67,-86,-75.67,-62.5,Empty
-77.67,-86,-75.67,-63,Empty
-76,-86.75,-78.33,-63,Empty
-76,-86.75,-78.33,-64,Empty
-75.5,-87.25,-77,-64,Empty
-75.5,-87.25,-77,-64.5,Empty
-76,-87.67,-77,-64.5,Empty
-76,-87.67,-77,-65,Empty
-78.5,-90.67,-77.25,-65,Empty
-78.5,-90.67,-77.25,-71.25,Empty
-80.25,-91.33,-73,-71.25,Empty
-80.25,-91.33,-73,-70.25,Empty
-82,-92.67,-75.25,-70.25,Empty
-82,-92.67,-75.25,-69,Empty
-81.5,-92.75,-77.75,-69,Empty
-81.5,-92.75,-77.75,-67.75,Empty
-80,-91,-81.5,-67.75,Empty
-80,-91,-81.5,-61,Empty
-79.75,-90.25,-81.5,-61,Empty
-79.75,-90.25,-81.5,-61.75,Empty
-83.25,-89,-79.25,-61.75,Empty
-83.25,-89,-79.25,-62.5,Empty
-82.25,-88.5,-77,-62.5,Empty
-82.25,-88.5,-77,-63.25,Empty
-81,-89.25,-73.33,-63.25,Empty
-81,-89.25,-73.33,-64.25,Empty
-79.5,-89.25,-74.33,-64.25,Empty
-79.5,-89.25,-74.33,-64.5,Empty
-76,-90.25,-74.33,-64.5,Empty
-76,-90.25,-74.33,-65,Empty
-76.33,-91,-74.5,-65,Empty
-76.33,-91,-74.5,-70,Empty
-80,-91.33,-74.5,-70,Empty
-80,-91.33,-74.5,-69,Empty
-81.67,-92.33,-77,-69,Empty
-81.67,-92.33,-77,-68,Empty
-82,-93,-89,-68,Empty
-82,-93,-89,-66.75,Empty
-81,-89.5,-86.67,-66.75,Empty
-81,-89.5,-86.67,-61.75,Empty
-79,-88.67,-83.25,-61.75,Empty
-79,-88.67,-83.25,-62.5,Empty
-79,-87.33,-81.5,-62.5,Empty
-79,-87.33,-81.5,-63,Empty
-77.67,-88.25,-75.5,-63,Empty
-77.67,-88.25,-75.5,-63.75,Empty
-76,-89.25,-78,-63.75,Empty
-76,-89.25,-78,-64.25,Empty
-74.67,-89.75,-78,-64.25,Empty
-74.67,-89.75,-78,-64.5,Empty
-76.25,-91,-77.75,-64.5,Empty
-76.25,-91,-77.75,-65,Empty
-81.75,-91.5,-77.75,-65,Empty
-81.75,-91.5,-77.75,-65.33,Empty
-83.5,-91.67,-75.25,-65.33,Empty
-83.5,-91.67,-75.25,-63.67,Empty
-84.25,-92.67,-77.5,-63.67,Empty
-84.25,-92.67,-77.5,-62.33,Empty
-83.5,-91,-83.25,-62.33,Empty
-83.5,-91,-83.25,-62,Empty
-78.75,-89.33,-85.5,-62,Empty
-78.75,-89.33,-85.5,-61.75,Empty
-78,-88.75,-83,-61.75,Empty
-78,-88.75,-83,-62.5,Empty
-77.33,-87.25,-80.5,-62.5,Empty
-77.33,-87.25,-80.5,-63,Empty
-76.67,-88.25,-74.75,-63,Empty
-76.67,-88.25,-74.75,-63.5,Empty
-75.33,-88.75,-72.5,-63.5,Empty
-75.33,-88.75,-72.5,-63.75,Empty
-76.75,-89.25,-73.25,-63.75,Empty
-76.75,-89.25,-73.25,-64,Empty
-78,-90.33,-73.5,-64,Empty
-78,-90.33,-73.5,-69.25,Empty
-80.5,-89.5,-74.5,-69.25,Empty
-80.5,-90,-74.5,-68.5,Empty
-82.25,-90,-76.5,-68.5,Empty
-82.25,-91.33,-76.5,-67.5,Empty
-81.5,-92.5,-78.25,-67.5,Empty
-81.5,-90.33,-78.25,-66.5,Empty
-81,-90.33,-80,-66.5,Empty
-81,-89.75,-80,-60.67,Empty
-79.25,-89.75,-79,-60.67,Empty
-79.25,-89,-79,-62,Empty
-78.67,-89,-76.33,-62,Empty
-78.67,-87,-76.33,-63,Empty
-77.33,-87,-73.5,-63,Empty
-77.33,-87.33,-73.5,-64,Empty
-76,-87.33,-73.33,-64,Empty
-76,-88,-73.33,-64.25,Empty
-74.67,-88,-73,-64.25,Empty
-74.67,-88.67,-73,-64.5,Empty
-76.25,-88.67,-73.5,-64.5,Empty
-76.25,-90,-73.5,-64.75,Empty
-78,-90,-74,-64.75,Empty
-78,-91,-74,-65,Empty
-79.75,-91,-76.67,-65,Empty
-79.75,-91.75,-76.67,-64,Empty
-81.33,-91.75,-76.67,-64,Empty
-81.33,-92,-77.75,-63,Empty
-80.33,-92,-79,-63,Empty
-80.33,-91,-79.5,-62,Empty
-79.67,-91,-81,-62,Empty
-79.67,-89.25,-83.25,-61,Empty
-78.67,-89.25,-84,-61,Empty
-78.67,-88,-81.5,-61,Empty
-78.67,-88,-81.5,-61,Empty
-78.67,-87,-79.75,-62,Empty
-77.33,-87,-79.75,-62,Empty
-77.33,-88.5,-82.5,-62.67,Empty
-75.67,-88.5,-82.5,-62.67,Empty
-75.67,-89,-78.25,-64.33,Empty
-80,-89,-78.25,-64.33,Empty
-80,-89.33,-79.67,-69.5,Empty
-80.25,-89.33,-79.67,-69.5,Empty
-80.25,-90.5,-79.33,-70,Empty
-82.25,-90.5,-79.33,-70,Empty
-82.25,-90,-73,-75.25,Empty
-84.75,-90,-73,-75.25,Empty
-84.75,-91,-82,-74,Empty
-81.5,-91,-82,-74,Empty
-81.5,-92,-82,-68,Empty
-81,-92,-82,-68,Empty
-81,-90,-84.67,-66.75,Empty
-80,-90,-84.67,-66.75,Empty
-80,-89,-84.33,-61.75,Empty
-78.67,-89,-84.33,-61.75,Empty
-78.67,-88.5,-75.33,-62,Empty
-77.33,-88.5,-75.33,-62,Empty
-77.33,-87,-74.75,-63,Empty
-75.67,-87,-74.75,-63,Empty
-75.67,-88.5,-72.75,-64,Empty
-74.5,-88.5,-72.75,-64,Empty
-74.33,-89.5,-73,-64.67,Empty
-74.33,-89.5,-73,-64.67,Empty
-76,-89.75,-77,-64.75,Empty
-76.33,-89.75,-77,-64.75,Empty
-77.5,-90.67,-77,-65,Empty
-77.5,-90.67,-77,-65,Empty
-79.5,-91,-79,-65.33,Empty
-79.5,-91,-79,-65.33,Empty
-81.25,-90.67,-83,-63.67,Empty
-81.25,-90.67,-83,-63.67,Empty
-80.75,-92.33,-81,-62.33,Empty
-80.75,-92.33,-81,-62.33,Empty
-80.25,-91.5,-83,-61,Empty
-80.25,-91.5,-83,-61,Empty
-79.5,-90,-80.75,-68.5,Empty
-79.5,-90,-80.75,-68.5,Empty
-79,-89,-76.5,-69,Empty
-79,-89,-76.5,-69,Empty
-77.33,-88,-74.75,-69.75,Empty
-77.33,-88,-74.75,-69.75,Empty
-76,-88.25,-72.75,-70.5,Empty
-76,-88.25,-72.75,-70.5,Empty
-74.33,-88.5,-73,-64,Empty
-74.33,-88.5,-73,-64,Empty
-76,-88.75,-73.25,-69.25,Empty
-76,-88.75,-73.25,-69.25,Empty
-77.75,-90,-73.25,-74.5,Empty
-77.75,-90,-73.25,-74.5,Empty
-79.25,-90.75,-75.5,-73.75,Empty
-79.25,-90.75,-75.5,-73.75,Empty
-81,-91,-77.75,-72.75,Empty
-81,-91,-77.75,-72.75,Empty
-80.5,-92,-79.75,-67,Empty
-80.5,-92,-79.75,-67,Empty
-80,-89.33,-79.5,-61,Empty
-80,-89.33,-79.5,-61,Empty
-84.5,-87.5,-78.67,-62.33,Empty
-84.5,-87.5,-78.67,-62.33,Empty
-82.75,-86.5,-75.67,-63,Empty
-82.75,-86.5,-75.67,-63,Empty
-81.5,-86.5,-73,-63.67,Empty
-81.5,-86.5,-73,-63.67,Empty
-80.25,-88,-73,-63.67,Empty
-80.25,-88,-73,-70,Empty
-76,-88.33,-73,-71.67,Empty
-76,-88.33,-73,-70,Empty
-77.75,-89,-78,-72.33,Empty
-77.75,-89,-78,-76,Empty
-80.25,-89,-78.75,-80.33,Empty
-80.25,-89,-78.75,-80.33,Empty
-82.33,-89,-80.75,-80.33,Empty
-82.33,-89,-80.75,-71,Empty
-81.33,-91,-82.75,-71,Empty
-81.33,-91,-82.75,-69.67,Empty
-81.5,-91,-83.5,-69.67,Empty
-81.5,-91,-83.5,-61,Empty
-79.5,-91,-86,-61,Empty
-79.5,-91,-86,-62,Empty
-79.33,-91,-83.33,-62,Empty
-79.33,-91,-83.33,-62.75,Empty
-84,-89,-81,-62.75,Empty
-84,-89,-81,-63.5,Empty
-84,-93,-73.5,-63.5,Empty
-84,-93,-73.5,-64.33,Empty
-82,-93,-73.5,-64.33,Empty
-82,-93,-73.5,-71.67,Empty
-83.5,-93,-81.5,-71.67,Empty
-83.5,-93,-81.5,-75.5,Empty
-85,-93,-89,-75.5,Empty
-85,-93,-89,-76.5,Empty
-83.67,-91,-89.33,-76.5,Empty
-83.67,-91,-89.33,-71.33,Empty
-87,-91.5,-87.5,-71.33,Empty
-87,-91.5,-87.5,-62.67,Empty
-85,-92,-85.75,-62.67,Empty
-85,-92,-85.75,-62.25,Empty
-80.75,-92.5,-83.75,-62.25,Empty
-80.75,-92.5,-83.75,-61,Empty
-80.25,-91.5,-79.25,-61,Empty
-80.25,-91.5,-79.25,-61.75,Empty
-77.75,-91.33,-77,-61.75,Empty
-77.75,-91.33,-77,-67.5,Empty
-76.75,-91,-74.75,-67.5,Empty
-76.75,-91,-74.75,-73,Empty
-80,-89.33,-72.75,-73,Empty
-80,-89.33,-72.75,-74,Empty
-78.75,-89.67,-73,-74,Empty
-78.75,-89.67,-73,-74.25,Empty
-80.25,-89.75,-73,-74.25,Empty
-80.25,-89.75,-73,-69.5,Empty
-82.25,-89,-73.25,-69.5,Empty
-82.25,-89,-73.25,-70.5,Empty
-79.25,-89.5,-75.5,-70.5,Empty
-79.25,-89.5,-75.5,-69.5,Empty
-80.5,-90.5,-77.5,-69.5,Empty
-80.5,-90.5,-77.5,-68.75,Empty
-80.25,-91.25,-79.5,-68.75,Empty
-80.25,-91.25,-79.5,-67.75,Empty
-79.25,-91,-81.5,-67.75,Empty
-79.25,-91,-81.5,-61.25,Empty
-79,-90,-84.75,-61.25,Empty
-79,-90,-84.75,-68.5,Empty
-78,-88.5,-82.75,-68.5,Empty
-78,-88.5,-82.75,-69,Empty
-76.75,-87,-80.75,-69,Empty
-76.75,-87,-80.75,-69.75,Empty
-75.5,-87.25,-78.5,-69.75,Empty
-75.5,-87.25,-78.5,-71,Empty
-74.33,-87.33,-73,-71,Empty
-74.33,-87.33,-73,-69.5,Empty
-76.33,-88.67,-73,-69.5,Empty
-76.33,-88.67,-73,-75.25,Empty
-83.67,-89.5,-73,-75.25,Empty
-83.67,-89.5,-73,-76.25,Empty
-92.33,-90,-84.5,-76.25,Empty
-92.33,-90,-84.5,-75,Empty
-92.33,-90,-84.5,-75,Empty
-92.33,-90,-84.5,-72,Empty
-91.67,-94,-89,-72,Empty
-91.67,-94,-89,-63.33,Empty
-86,-92,-83.67,-63.33,Empty
-86,-92,-83.67,-61.67,Empty
-77.33,-92,-83,-61.67,Empty
-77.33,-92,-83,-62.67,Empty
-76.75,-90.33,-80.5,-62.67,Empty
-76.75,-90.33,-80.5,-63,Empty
-75.5,-88,-78.25,-63,Empty
-75.5,-88,-78.25,-63.67,Empty
-74.25,-87.67,-78.25,-63.67,Empty
-74.25,-87.67,-78.25,-64.33,Empty
-75.75,-88,-73,-64.33,Empty
-75.75,-88,-73,-65,Empty
-77,-88.33,-73,-65,Empty
-77,-88.33,-73,-65.67,Empty
-78.75,-90.33,-75.5,-65.67,Empty
-78.75,-90.33,-75.5,-64.25,Empty
-80,-91.67,-77.75,-64.25,Empty
-80,-91.67,-77.75,-63.25,Empty
-80,-93.33,-80,-63.25,Empty
-80,-93.33,-80,-62,Empty
-79.67,-93,-82.25,-62,Empty
-79.67,-93,-82.25,-60.75,Empty
-79,-91.75,-80,-60.75,Empty
-79,-91.75,-80,-61.75,Empty
-77.33,-90.5,-78,-61.75,Empty
-77.33,-90.5,-78,-62.5,Empty
-77,-89.33,-76,-62.5,Empty
-77,-89.33,-76,-63.5,Empty
-80.75,-89.33,-74,-63.5,Empty
-80.75,-89.33,-74,-64.75,Empty
-79.5,-90,-73.75,-64.75,Empty
-79.5,-90,-73.75,-65,Empty
-81.25,-90.33,-73.5,-65,Empty
-81.25,-90.33,-73.5,-65.5,Empty
-82.5,-91.75,-78.25,-65.5,Empty
-82.5,-91.75,-78.25,-65.75,Empty
-78.67,-91.25,-79.67,-65.75,Empty
-78.67,-91.25,-79.67,-64.25,Empty
-87,-91.67,-83,-64.25,Empty
-87,-91.67,-83,-63.5,Empty
-90,-93,-96.5,-63.5,Empty
-90,-93,-96.5,-62.25,Empty
-99,-90,-100,-62.25,Empty
-99,-90,-100,-61.75,Empty
-89,-85,-87,-61.75,Empty
-89,-85,-87,-62.5,Empty
-76.5,-86.5,-87,-62.5,Empty
-76.5,-86.5,-82.67,-67.75,Empty
-82,-86.67,-74,-67.75,Empty
-82,-86.67,-74,-68.5,Empty
-82,-86.67,-74,-68.5,Empty
-82,-87.25,-73.75,-68.75,Empty
-83.67,-88,-73.67,-68.75,Empty
-83.67,-88.5,-73.67,-69.25,Empty
-86,-88.67,-73.67,-69.25,Empty
-86,-88.75,-73.33,-64.75,Empty
-81.67,-89.33,-73.33,-64.75,Empty
-81.67,-89.75,-80.33,-69.75,Empty
-81.5,-89.75,-80.33,-69.75,Empty
-81.5,-90.5,-82.67,-68.75,Empty
-80.25,-90.5,-82.67,-68.75,Empty
-80.25,-91.25,-84.5,-67.75,Empty
-79.75,-91.25,-84.5,-67.75,Empty
-79.75,-92.5,-86.5,-66.75,Empty
-79.5,-92.5,-86.5,-66.75,Empty
-79.5,-92,-80.75,-61.75,Empty
-77.75,-92,-80.75,-61.75,Empty
-77.75,-90.75,-79,-62.5,Empty
-77.33,-90.75,-79,-62.5,Empty
-76.75,-88.75,-74.5,-68.5,Empty
-76,-88.75,-74.5,-68.5,Empty
-76,-87,-72.33,-69.25,Empty
-74.5,-87,-72.33,-69.25,Empty
-80.33,-87,-72.67,-70,Empty
-83.5,-87,-72.67,-70,Empty
-82.67,-87.67,-72.67,-70.25,Empty
-82.67,-87.67,-72.67,-70.25,Empty
-85.33,-89.33,-73,-65.75,Empty
-85.33,-89.33,-73,-65.75,Empty
-84.25,-89.33,-75,-66.33,Empty
-84.25,-89.33,-75,-66.33,Empty
-81.67,-90,-77.5,-64.33,Empty
-81.67,-90,-77.5,-64.33,Empty
-82,-91.67,-79.75,-63,Empty
-82,-91.67,-79.75,-63,Empty
-88.5,-92.67,-80,-61,Empty
-88.5,-92.67,-80,-61,Empty
-87.5,-91.25,-78,-61.75,Empty
-87.5,-91.25,-78,-61.75,Empty
-83,-89.25,-75.5,-62.5,Empty
-83,-89.25,-75.5,-62.5,Empty
-81,-87.75,-73.5,-63.25,Empty
-81,-87.75,-73.5,-63.25,Empty
-75.75,-87.25,-73.25,-63.75,Empty
-75.75,-87.25,-73.25,-63.75,Empty
-80.75,-88.25,-73.25,-64,Empty
-80.75,-88.25,-73.25,-64,Empty
-82,-90,-73.25,-64.25,Empty
-82,-90,-73.25,-64.25,Empty
-83,-90.67,-73,-64.75,Empty
-83,-90.67,-73,-64.75,Empty
-84.5,-90.33,-80.67,-64.25,Empty
-84.5,-90.33,-80.67,-64.25,Empty
-79.5,-91.33,-83.33,-63.25,Empty
-79.5,-91.33,-83.33,-63.25,Empty
-79.67,-92.67,-86,-62.25,Empty
-79.67,-92.67,-86,-62.25,Empty
-79.67,-91.25,-82.75,-61,Empty
-79.67,-91.25,-82.75,-61,Empty
-79,-90.5,-77,-68.25,Empty
-79,-90.5,-77,-68.25,Empty
-77.33,-89.33,-75,-68.75,Empty
-77.33,-89.33,-75,-68.75,Empty
-76.5,-87,-73,-69.5,Empty
-76.5,-87,-73,-69.5,Empty
-75.67,-88,-73.67,-70.5,Empty
-75.67,-88,-73.67,-70.5,Empty
-76.67,-88.67,-73.67,-64.5,Empty
-76.67,-88.67,-73.67,-64.5,Empty
-79,-88.75,-73.67,-65,Empty
-79,-88.75,-73.67,-65,Empty
-81.33,-90.25,-75.5,-65.33,Empty
-81.33,-90.25,-75.5,-65.25,Empty
-81.25,-90.25,-79.25,-64.25,Empty
-81.25,-90.25,-79.25,-64.25,Empty
-81,-91,-81.5,-63.67,Empty
-81,-91,-81.5,-63,Empty
-81,-91.67,-84.33,-62.33,Empty
-81,-91.67,-84.33,-62,Empty
-80,-90,-81.67,-62,Empty
-80,-90,-81.67,-61.75,Empty
-79,-90,-76,-62,Empty
-79,-90,-76,-62.5,Empty
-77.67,-88,-73.33,-62.5,Empty
-77.67,-88,-73.33,-70,Empty
-76.75,-88,-73.25,-70,Empty
-76.75,-88,-73.25,-70.75,Empty
-75.5,-88,-73.25,-70.75,Empty
-75.5,-88,-73.25,-71,Empty
-76.5,-88,-73.25,-71,Empty
-76.5,-88,-73.25,-71.5,Empty
-78,-89,-73,-71.5,Empty
-78,-89,-73,-65.25,Empty
-79.75,-90,-75.25,-65.25,Empty
-79.75,-90,-75.25,-65.67,Empty
-81.67,-91,-80.75,-65.67,Empty
-81.67,-91,-80.75,-64.33,Empty
-80.33,-91,-85.25,-64.33,Empty
-80.33,-91,-85.25,-63.5,Empty
-79.67,-93,-85.25,-63.5,Empty
-79.67,-93,-85.25,-61,Empty
-79,-90.67,-83,-61,Empty
-79,-90.67,-83,-62,Empty
-77.75,-89,-77.75,-62,Empty
-77.75,-89,-77.75,-63,Empty
-76.5,-88.25,-73.33,-63,Empty
-76.5,-88.25,-73.33,-63.25,Empty
-75.25,-86.33,-73.67,-63.25,Empty
-75.25,-86.33,-73.67,-64.5,Empty
-74,-86.5,-73.67,-64.5,Empty
-74,-86.5,-73.67,-65.25,Empty
-80,-86,-78.33,-65.25,Empty
-80,-86,-78.33,-65.5,Empty
-81.75,-89,-79,-65.5,Empty
-81.75,-89,-79,-65.75,Empty
-83.5,-89,-81,-65.75,Empty
-83.5,-89,-81,-68.5,Empty
-84.75,-89.5,-87,-68.5,Empty
-84.75,-89.5,-87,-67,Empty
-79.75,-90.67,-85.5,-67,Empty
-79.75,-90.67,-85.5,-66,Empty
-79,-91.5,-83.5,-66,Empty
-79,-91.5,-83.5,-65,Empty
-78.5,-90,-81.5,-65,Empty
-78.5,-90,-81.5,-61.5,Empty
-77.25,-90,-75.5,-61.5,Empty
-77.25,-90,-75.5,-62.25,Empty
-81,-87,-73.25,-62.25,Empty
-81,-87,-73.25,-62.75,Empty
-80,-87.67,-77.25,-62.75,Empty
-80,-87.67,-77.25,-64,Empty
-78.75,-88.67,-77,-64,Empty
-78.75,-88.67,-77,-64.5,Empty
-80.25,-88.5,-78.33,-64.5,Empty
-80.25,-88.5,-78.33,-64.75,Empty
-77.5,-89,-81.33,-64.75,Empty
-77.5,-89,-81.33,-65.33,Empty
-79.25,-90,-79,-65.33,Empty
-79.25,-90,-79,-63.67,Empty
-81,-90.67,-82,-63.67,Empty
-81,-90.67,-82,-62.33,Empty
-80.67,-92.33,-79.75,-62.33,Empty
-80.67,-92.33,-79.75,-61,Empty
-79.67,-92.33,-77.5,-61,Empty
-79.67,-92.33,-77.5,-61.5,Empty
-79,-89.33,-75.25,-61.5,Empty
-79,-89.33,-75.25,-62.25,Empty
-77.33,-88,-73.25,-62.25,Empty
-77.33,-88,-73.25,-63,Empty
-75.67,-85.67,-73.25,-63,Empty
-75.67,-85.67,-73.25,-63.75,Empty
-74,-86.5,-73.75,-63.75,Empty
-74,-86.5,-73.75,-64.5,Empty
-74,-88,-73.75,-64.5,Empty
-74,-88,-73.75,-65,Empty
-75.75,-88,-73.5,-65,Empty
-75.75,-88,-73.5,-65.5,Empty
-77.5,-89,-79.5,-65.5,Empty
-77.5,-89,-79.5,-64.75,Empty
-83.25,-89.5,-81.25,-64.75,Empty
-83.25,-89.5,-81.25,-69.25,Empty
-84.5,-91.5,-84,-69.25,Empty
-84.5,-91.5,-84,-68,Empty
-84,-91.67,-84,-68,Empty
-84,-91.67,-84,-68.67,Empty
-87.75,-90.5,-76.33,-68.67,Empty
-87.75,-90.5,-76.33,-69.67,Empty
-83.25,-89.25,-73.33,-69.67,Empty
-83.25,-89.25,-73.33,-63,Empty
-82.25,-88,-73.25,-63,Empty
-82.25,-88,-73.25,-70.67,Empty
-81.25,-86.75,-73.25,-70.67,Empty
-81.25,-86.75,-73.25,-69.75,Empty
-75.75,-87.25,-78,-69.75,Empty
-75.75,-87.25,-78,-70.25,Empty
-76.25,-88.5,-78,-70.25,Empty
-76.25,-88.5,-78,-70.5,Empty
-77.75,-88.67,-80.25,-70.5,Empty
-77.75,-88.67,-80.25,-65.75,Empty
-79.25,-90.33,-82.67,-65.75,Empty
-79.25,-90.33,-82.5,-64.25,Empty
-84.75,-91.67,-79.5,-64.25,Empty
-84.75,-91.67,-79.5,-63,Empty
-84.25,-93,-81.67,-63,Empty
-84.25,-93,-81.67,-62,Empty
-83.75,-92.75,-81.5,-62,Empty
-83.75,-92.75,-79,-61,Empty
-83.25,-91.5,-79,-61,Empty
-83.25,-91.5,-76,-61.5,Empty
-78,-90,-73.5,-61.5,Empty
-78,-90,-73.5,-67,Empty
-77.25,-88.25,-73.5,-67,Empty
-77.25,-88.25,-73.33,-67.5,Empty
-76.25,-87,-73.33,-67.5,Empty
-76.25,-87,-73,-68.5,Empty
-75.25,-87.75,-73,-68.5,Empty
-75.25,-87.75,-73.33,-69.25,Empty
-76.75,-88.75,-73.33,-69.25,Empty
-76.75,-88.75,-73.5,-64.75,Empty
-78,-89.75,-73.5,-64.75,Empty
-78,-89.75,-75.5,-65.5,Empty
-79.5,-90.25,-75.5,-65.5,Empty
-79.5,-90.25,-76.25,-64.5,Empty
-85.5,-90.5,-76.25,-64.5,Empty
-85.5,-90.5,-78.25,-63.25,Empty
-85,-90.5,-78.25,-63.25,Empty
-85,-90.5,-78,-62.25,Empty
-84.5,-90.33,-78,-62.25,Empty
-84.5,-90.33,-76.25,-61.75,Empty
-84,-89.67,-76.25,-61.75,Empty
-84,-89.67,-75.5,-62.5,Empty
-77.75,-89,-75.5,-62.5,Empty
-77.75,-88.67,-73.5,-63.25,Empty
-76.5,-87.5,-73.5,-63.25,Empty
-76.5,-87.33,-73.5,-70.5,Empty
-75.5,-87.33,-73.5,-70.5,Empty
-75.5,-87.5,-73.5,-70.75,Empty
-76,-87.67,-73.5,-70.75,Empty
-76,-88.25,-73.5,-71.25,Empty
-78.25,-88.33,-73.5,-71.25,Empty
-78.25,-89.5,-75.25,-71.75,Empty
-80,-89.5,-75.25,-71.75,Empty
-80,-90.5,-77.5,-64.5,Empty
-81.5,-90.5,-77.5,-64.5,Empty
-81.5,-91.5,-79.25,-69.25,Empty
-85.5,-91.5,-79.25,-69.25,Empty
-85.5,-92.25,-81.5,-68,Empty
-86.33,-92.25,-81.5,-68,Empty
-84.25,-92.25,-79.5,-66.75,Empty
-85.33,-92.25,-79.5,-66.75,Empty
-84,-92.67,-77.5,-67.5,Empty
-85,-92.67,-77.5,-67.5,Empty
-85,-91,-75.5,-62.5,Empty
-85,-91,-75.5,-62.5,Empty
-77.67,-89.33,-73.25,-63.25,Empty
-77.67,-89.33,-73.25,-63.25,Empty
-83,-87.67,-73.25,-64.5,Empty
-83,-87.67,-73.25,-64.5,Empty
-81,-88,-73.5,-64.67,Empty
-81,-88,-73.5,-64.67,Empty
-81,-88.33,-73.67,-65,Empty
-81,-88.33,-73.67,-65,Empty
-82.5,-89,-76.67,-65.67,Empty
-82.5,-89,-76.67,-65.67,Empty
-79.25,-89.33,-79.67,-64,Empty
-79.25,-89.33,-79.67,-64,Empty
-81,-89.67,-82,-63.25,Empty
-81,-89.67,-82,-63.25,Empty
-81,-89.67,-85.25,-68,Empty
-81,-89.67,-85.25,-68,Empty
-80.33,-90.67,-83.25,-74,Empty
-80.33,-90.67,-83.25,-74,Empty
-80,-91.5,-83.67,-74.75,Empty
-80,-91.5,-83.67,-74.75,Empty
-76.5,-89,-80.67,-75.5,Empty
-76.5,-89,-80.67,-75.5,Empty
-76,-88.33,-73.33,-70.25,Empty
-76,-88.33,-73.33,-70.25,Empty
-74.67,-88,-73,-64.5,Empty
-74.67,-88,-73,-64.5,Empty
-74.5,-88.25,-73,-64.75,Empty
-74.5,-88.25,-73,-64.75,Empty
